file_name,column_name,description,data_type,units,allowed_values_or_range,missing_value_meaning,source_or_derivation
data/calibration_reference/cal01.csv,source_col_00,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal01.csv,source_col_01,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal01.csv,source_col_02,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal01.csv,source_col_03,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal01.csv,source_col_04,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal02.csv,source_col_00,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal02.csv,source_col_01,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal02.csv,source_col_02,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal03.csv,source_col_00,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal03.csv,source_col_01,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal04.csv,source_col_00,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/calibration_reference/cal04.csv,source_col_01,Unmodified candidate calibration numeric column; column meaning and unit have not been confirmed.,number,unconfirmed,source values,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,level,"Scope of an exclusion, including inactive out-of-range indices",string,,staircase|csf_fit_point|inactive_csf_fit_index,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,record_id,Public staircase ID or zero-based point index to which the logged rule applies,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,condition_id,"Pseudonymous participant-luminance identifier, not chronological session order",string,,conditions.json,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,rule,Source selection or exclusion rule preserved by the package,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,reason,Recorded rationale/status; author_reason_not_recorded avoids inventing a scientific reason,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,source_id,Opaque source identifier linking to source_manifest or bootstrap source manifests,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/exclusions/exclusions_log.csv,details,Explanatory details about the transformation or exclusion,string,,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l010.csv.gz,source_input_index,Zero-based CSF file number; 0 is deterministic primary CSF; 1-9999 are available resampled inputs; linkage to saved fits unresolved,integer,file index,0..9999,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l010.csv.gz,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l010.csv.gz,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l010.csv.gz,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l020.csv.gz,source_input_index,Zero-based CSF file number; 0 is deterministic primary CSF; 1-9999 are available resampled inputs; linkage to saved fits unresolved,integer,file index,0..9999,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l020.csv.gz,source_point_index,Zero-based row in the original two-column CSF source file; used for exclusions,integer,row index,>=0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l020.csv.gz,spatial_frequency_cpd,"Ordinary spatial frequency; raw trial value is round(source_col_15 / 31.5, 3)",number,cycles/degree,>0,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
data/processed/bootstrap_csf/p01_l020.csv.gz,contrast_sensitivity,"Reciprocal of the across-staircase mean threshold, or a current-helper fitted interpolant when in a curve table",number,reciprocal normalized source contrast,,Unknown/not recorded or not applicable; never zero. See description.,"See source_to_output_mapping.csv, config/conditions.json, and the indicated generating code in run_all.md."
